場名,日付,レース,着順,艇番,登番,選手名,モーター,ボート,展示タイム,進入,ST,レースタイム,決まり手,ミッドナイト
福岡,2025/11/02,1,01,1,4928,栗城匠,44,110,6.85,1,0.22,1.49.4,逃げ,
福岡,2025/11/02,1,02,5,4110,小澤和也,49,145,6.82,5,0.24,1.50.6,逃げ,
福岡,2025/11/02,1,03,6,5325,澁川夏,14,127,6.82,6,0.18,1.51.8,逃げ,
福岡,2025/11/02,1,04,3,4694,高田綾,33,171,6.96,3,0.26,1.53.5,逃げ,
福岡,2025/11/02,1,05,2,3929,杢野誓良,18,125,6.87,2,0.24,.,逃げ,
福岡,2025/11/02,1,06,4,3642,大塚浩二,25,131,6.94,4,0.33,.,逃げ,
福岡,2025/11/02,2,01,1,3436,柏野幸二,30,173,6.79,1,0.04,1.50.6,逃げ,
福岡,2025/11/02,2,02,2,5223,森清友翔,73,162,6.83,2,0.08,1.51.6,逃げ,
福岡,2025/11/02,2,03,3,4230,濱崎直矢,69,126,6.84,3,0.08,1.53.3,逃げ,
福岡,2025/11/02,2,04,4,3224,栗山繁洋,31,152,6.87,4,0.23,1.54.3,逃げ,
福岡,2025/11/02,2,05,5,4202,浮田圭浩,16,156,6.86,5,0.25,.,逃げ,
福岡,2025/11/02,2,06,6,5401,谷海夏人,27,101,6.85,6,0.21,.,逃げ,
福岡,2025/11/02,3,01,1,4495,森晋太郎,22,105,6.91,1,0.10,1.51.0,逃げ,
福岡,2025/11/02,3,02,3,4704,河野大,11,129,6.92,3,0.12,1.51.6,逃げ,
福岡,2025/11/02,3,03,2,4248,岡本大,59,139,6.97,2,0.12,1.54.2,逃げ,
福岡,2025/11/02,3,04,5,4693,松下誉士,60,123,6.89,5,0.13,1.55.1,逃げ,
福岡,2025/11/02,3,05,4,3892,草場康幸,26,117,6.95,4,0.13,.,逃げ,
福岡,2025/11/02,3,06,6,5370,日隈茜,29,159,6.85,6,0.13,.,逃げ,
福岡,2025/11/02,4,01,1,4558,宮野仁,75,118,6.90,1,0.19,1.51.1,抜き,
福岡,2025/11/02,4,02,4,3075,中村裕将,74,164,7.00,4,0.10,1.52.4,抜き,
福岡,2025/11/02,4,03,2,3882,新田智彰,38,120,6.94,2,0.15,1.53.0,抜き,
福岡,2025/11/02,4,04,5,4688,永井彪也,23,121,6.95,5,0.09,1.54.0,抜き,
福岡,2025/11/02,4,05,3,5079,大石真央,21,149,6.95,3,0.09,.,抜き,
福岡,2025/11/02,4,06,6,5367,赤松咲香,52,122,6.91,6,0.13,.,抜き,
福岡,2025/11/02,5,01,2,4650,中山雄太,67,158,6.84,2,0.14,1.49.8,差し,
福岡,2025/11/02,5,02,1,3503,堂原洋史,64,155,6.92,1,0.06,1.52.0,差し,
福岡,2025/11/02,5,03,3,3867,松浦勝,42,134,6.85,3,0.23,1.53.2,差し,
福岡,2025/11/02,5,04,5,4513,河野真也,61,141,6.86,5,0.27,1.54.6,差し,
福岡,2025/11/02,5,05,4,5325,澁川夏,14,127,6.86,4,0.27,.,差し,
福岡,2025/11/02,5,06,6,4882,瀧川千依,12,138,6.84,6,0.43,.,差し,
福岡,2025/11/02,6,01,1,4522,古澤光紀,41,170,6.83,1,0.00,1.50.8,逃げ,
福岡,2025/11/02,6,02,4,3930,岸本隆,37,169,6.88,4,0.01,1.51.8,逃げ,
福岡,2025/11/02,6,03,5,3968,茶谷信次,65,151,6.94,5,0.11,1.53.3,逃げ,
福岡,2025/11/02,6,04,2,3224,栗山繁洋,31,152,6.93,2,0.06,1.53.3,逃げ,
福岡,2025/11/02,6,05,3,4110,小澤和也,49,145,6.86,3,0.04,.,逃げ,
福岡,2025/11/02,6,06,6,4694,高田綾,33,171,6.96,6,0.11,.,逃げ,
福岡,2025/11/02,7,01,1,4345,西舘健,13,130,6.99,1,0.09,1.50.8,逃げ,
福岡,2025/11/02,7,02,2,4850,野中一平,63,108,6.92,2,0.12,1.51.8,逃げ,
福岡,2025/11/02,7,03,4,4693,松下誉士,60,123,6.89,4,0.19,1.53.6,逃げ,
福岡,2025/11/02,7,04,6,5413,宮城那菜,48,113,6.89,6,0.12,1.54.7,逃げ,
福岡,2025/11/02,7,05,3,4202,浮田圭浩,16,156,6.92,3,0.19,.,逃げ,
福岡,2025/11/02,7,06,5,3929,杢野誓良,18,125,6.95,5,0.16,.,逃げ,
福岡,2025/11/02,8,01,1,4027,松江秀徳,20,160,6.91,1,0.19,1.53.5,逃げ,
福岡,2025/11/02,8,02,4,4230,濱崎直矢,69,126,6.91,4,0.19,1.54.9,逃げ,
福岡,2025/11/02,8,03,2,3892,草場康幸,26,117,6.96,2,0.17,1.56.5,逃げ,
福岡,2025/11/02,8,04,3,3642,大塚浩二,25,131,6.93,3,0.16,1.58.0,逃げ,
福岡,2025/11/02,8,05,5,4248,岡本大,59,139,7.00,5,0.21,.,逃げ,
福岡,2025/11/02,8,S1,6,5079,大石真央,21,149,6.94,6,0.19,.,逃げ,
福岡,2025/11/02,9,01,1,4688,永井彪也,23,121,6.90,1,0.12,1.50.5,逃げ,
福岡,2025/11/02,9,02,3,4928,栗城匠,44,110,6.92,3,0.11,1.51.8,逃げ,
福岡,2025/11/02,9,03,2,4271,川崎公靖,56,111,6.89,2,0.18,1.53.6,逃げ,
福岡,2025/11/02,9,04,4,3503,堂原洋史,64,155,6.97,4,0.16,1.55.1,逃げ,
福岡,2025/11/02,9,05,6,4581,吉村誠,32,163,6.92,6,0.15,.,逃げ,
福岡,2025/11/02,9,06,5,4422,永井亮次,43,143,6.99,5,0.16,.,逃げ,
福岡,2025/11/02,10,01,1,3968,茶谷信次,65,151,6.88,1,0.15,1.49.7,逃げ,
